id,label,definition,synonym,xref,super,comment,property,value
CO_715:0000039,Stock comment,Any comments for the stock.,,,,,part_of,Seed management
CO_715:0000244,Partially balanced design,,,,Incomplete block design,"Partially balanced designs are less suitable than balanced designs as the statistical analysis is more complicated. When the variation among blocks (or rows and columns) is large, some pairs of treatments are more precisely compared than others, and several different standard errors may have to be computed for tests of significance. These difficulties increase as the design departs more and more from the symmetry of the balanced design.",,
CO_715:0000151,Column number,Specific column position of plot in the Latin Square.,,IWIS_TRAITID:204,Plot design,,,
CO_715:0000214,Wild flooding,,,,,,method_of,Water treatment
CO_715:0000149,Replication,"Experiments of the same nature, when presented under similar conditions, should yield similar results.",number of replication,IWIS_TRAITID:202,Experimental design,,,
CO_715:0000164,Vapor pressure deficit,,,,Climatic condition,,,
CO_715:0000000,Crop research ontology,"Describes experimental design, environmental conditions and methods associated with the crop study/experiment/trail and their evaluation.",,,,"release date: December 10, 2010 version: 1.0 Adapted from: The database management system (DMS) and gemrplasm management system (GMS) of the International Crop Information System (ICIS) model. ncreator: Rosemary Shrestha publisher: Bioversity International and CIMMYT for the Generation Challenge Program.",,
CO_715:0000111,Chemical factor,,,,Abiotic factor,,,
CO_715:0000173,Soil depth to groundwater table,,,,Water condition,"The depth to the groundwater table, if present, as well as an estimate of the approximate annual fluctuation, should be given. The maximum rise of the groundwater table can be inferred approximately from changes in profile colour in many, but not all, soils.",,
CO_715:0000052,Seed derived GID,,,,GID,,,
CO_715:0000187,Green house with artificial light,,,,Controlled environment,,,
CO_715:0000191,Indoor environment,,,,Uncontrolled environment,,,
CO_715:0000230,Species,Specific epithet portion of the scientific name in lowercase letters plus authority1. Following abbreviation is allowed: sp.,,germplasm ontology:CO_010:0000039,Scientific name,,,
CO_715:0000230,Species,Specific epithet portion of the scientific name in lowercase letters plus authority1. Following abbreviation is allowed: sp.,,multicrop passport ontology:CO_020:0000006,Scientific name,,,
CO_715:0000230,Species,Specific epithet portion of the scientific name in lowercase letters plus authority1. Following abbreviation is allowed: sp.,,GCPDomainModel:CO_000:0000205,Scientific name,,,
CO_715:0000222,Distance from water source,,,,,,part_of,Water treatment
CO_715:0000064,Slope aspect,,,,Topological information,"The direction that the slope on which the accession was collected faces. Describe the direction with symbols N, S, E, W (e.g. a slope that faces a south-western direction has an aspect of SW).",,
CO_715:0000098,Highly organic,,,,Soil texture,,,
